,miRNA,ceRNA,species,database,type,miRNA_log2FC,ceRNA_log2FC,inference
4490251,hsa-miR-485-5p,ARHGAP8,Homo sapiens,miRWalk,miRNA-mRNA,-3.818347856,5.218090539,strict
4493028,hsa-miR-485-5p,MIR29B2CHG,Homo sapiens,ENCORI,miRNA-lncRNA,-3.818347856,27.79823168,strict
4493264,hsa-miR-485-5p,NEBL,Homo sapiens,miRWalk,miRNA-mRNA,-3.818347856,2.529631532,strict
4493678,hsa-miR-485-5p,PFDN4,Homo sapiens,miRWalk,miRNA-mRNA,-3.818347856,2.22269515,strict
4493864,hsa-miR-485-5p,PPARGC1A,Homo sapiens,miRDB_6.0;TargetSCAN_8.0;RNAInter;miRTarBase_9.0,miRNA-mRNA,-3.818347856,3.927338971,strict
4494347,hsa-miR-485-5p,RPL9,Homo sapiens,miRWalk,miRNA-mRNA,-3.818347856,2.342160185,strict
4494399,hsa-miR-485-5p,RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-3.818347856,2.265764748,strict
4495187,hsa-miR-485-5p,THUMPD3-AS1,Homo sapiens,ENCORI,miRNA-lncRNA,-3.818347856,24.00021616,strict
4495205,hsa-miR-485-5p,TLCD4-RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-3.818347856,3.067442485,strict
4495619,hsa-miR-485-5p,UTS2,Homo sapiens,miRWalk,miRNA-mRNA,-3.818347856,2.148164339,strict
4537522,hsa-miR-493-3p,DEFA4,Homo sapiens,miRWalk,miRNA-mRNA,-2.538462012,3.220305415,strict
4537959,hsa-miR-493-3p,HMMR,Homo sapiens,miRWalk,miRNA-mRNA,-2.538462012,2.435641514,strict
4538913,hsa-miR-493-3p,RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-2.538462012,2.265764748,strict
6385627,hsa-miR-6780a-5p,DEFA1,Homo sapiens,miRWalk,miRNA-mRNA,-2.013518891,2.701979079,strict
6385629,hsa-miR-6780a-5p,DEFA3,Homo sapiens,miRWalk,miRNA-mRNA,-2.013518891,2.842849682,strict
6385630,hsa-miR-6780a-5p,DEFA4,Homo sapiens,miRWalk,miRNA-mRNA,-2.013518891,3.220305415,strict
6386477,hsa-miR-6780a-5p,HMMR,Homo sapiens,miRWalk,miRNA-mRNA,-2.013518891,2.435641514,strict
6387661,hsa-miR-6780a-5p,PCLAF,Homo sapiens,miRWalk,miRNA-mRNA,-2.013518891,2.103726435,strict
6388450,hsa-miR-6780a-5p,SHLD3,Homo sapiens,miRWalk,miRNA-mRNA,-2.013518891,2.33408307,strict
6388966,hsa-miR-6780a-5p,TLCD4-RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-2.013518891,3.067442485,strict
6961132,hsa-miR-6850-5p,ADAM32,Homo sapiens,miRWalk,miRNA-mRNA,-2.470320831,3.126004106,strict
6961342,hsa-miR-6850-5p,ARHGAP8,Homo sapiens,miRWalk,miRNA-mRNA,-2.470320831,5.218090539,strict
6962804,hsa-miR-6850-5p,FSIP2,Homo sapiens,miRWalk,miRNA-mRNA,-2.470320831,4.072671206,strict
6963312,hsa-miR-6850-5p,INHBA,Homo sapiens,miRWalk,miRNA-mRNA,-2.470320831,2.210477781,strict
6964667,hsa-miR-6850-5p,PPARGC1A,Homo sapiens,miRWalk,miRNA-mRNA,-2.470320831,3.927338971,strict
6965189,hsa-miR-6850-5p,RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-2.470320831,2.265764748,strict
6996321,hsa-miR-6855-5p,DEFA1,Homo sapiens,miRWalk,miRNA-mRNA,-2.456433566,2.701979079,strict
6996766,hsa-miR-6855-5p,FSIP2,Homo sapiens,miRWalk,miRNA-mRNA,-2.456433566,4.072671206,strict
6998598,hsa-miR-6855-5p,RNASE3,Homo sapiens,miRWalk,miRNA-mRNA,-2.456433566,2.428954534,strict
6998710,hsa-miR-6855-5p,RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-2.456433566,2.265764748,strict
6999339,hsa-miR-6855-5p,TLCD4-RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-2.456433566,3.067442485,strict
6999841,hsa-miR-6855-5p,ZNF208,Homo sapiens,miRWalk,miRNA-mRNA,-2.456433566,2.872955214,strict
